Series_reference,Period,Data_value
BDCQ.SEA1CS,2018.12,223282
BDCQ.SEA1CS,2019.03,224654
BDCQ.SEA1CS,2019.06,224093
BDCQ.SEA1CS,2019.09,225206
BDCQ.SEA1CS,2019.12,226473
BDCQ.SEA1CS,2020.03,225574
BDCQ.SEA1CS,2020.06,223428
BDCQ.SEA1CS,2020.09,221990
BDCQ.SEA1CS,2020.12,219636
BDCQ.SEA1CS,2021.03,218696
BDCQ.SEA1CS,2021.06,219773
BDCQ.SEA1CT,2011.06,
BDCQ.SEA1CT,2011.09,
BDCQ.SEA1CT,2011.12,
BDCQ.SEA1CT,2012.03,
BDCQ.SEA1CT,2012.06,
BDCQ.SEA1CT,2012.09,
BDCQ.SEA1CT,2012.12,
BDCQ.SEA1CT,2013.03,
BDCQ.SEA1CT,2013.06,
BDCQ.SEA1CT,2013.09,
BDCQ.SEA1CT,2013.12,
BDCQ.SEA1CT,2014.03,
BDCQ.SEA1CT,2014.06,
BDCQ.SEA1CT,2014.09,
BDCQ.SEA1CT,2014.12,
BDCQ.SEA1CT,2015.03,
BDCQ.SEA1CT,2015.06,
BDCQ.SEA1CT,2015.09,
BDCQ.SEA1CT,2015.12,
BDCQ.SEA1CT,2016.03,
BDCQ.SEA1CT,2016.06,
BDCQ.SEA1CT,2016.09,
BDCQ.SEA1CT,2016.12,
BDCQ.SEA1CT,2017.03,
BDCQ.SEA1CT,2017.06,
BDCQ.SEA1CT,2017.09,
BDCQ.SEA1CT,2017.12,
BDCQ.SEA1CT,2018.03,
BDCQ.SEA1CT,2018.06,
BDCQ.SEA1CT,2018.09,
BDCQ.SEA1CT,2018.12,
BDCQ.SEA1CT,2019.03,
BDCQ.SEA1CT,2019.06,
BDCQ.SEA1CT,2019.09,
BDCQ.SEA1CT,2019.12,
BDCQ.SEA1CT,2020.03,
BDCQ.SEA1CT,2020.06,
BDCQ.SEA1CT,2020.09,
BDCQ.SEA1CT,2020.12,
BDCQ.SEA1CT,2021.03,
BDCQ.SEA1CT,2021.06,
BDCQ.SEA1DA,2011.06,14486
BDCQ.SEA1DA,2011.09,14796
BDCQ.SEA1DA,2011.12,15026
BDCQ.SEA1DA,2012.03,15065
BDCQ.SEA1DA,2012.06,15046
BDCQ.SEA1DA,2012.09,15188
BDCQ.SEA1DA,2012.12,15269
BDCQ.SEA1DA,2013.03,15844
BDCQ.SEA1DA,2013.06,15895
BDCQ.SEA1DA,2013.09,15773
BDCQ.SEA1DA,2013.12,16010
BDCQ.SEA1DA,2014.03,15570
BDCQ.SEA1DA,2014.06,15347
BDCQ.SEA1DA,2014.09,15515
BDCQ.SEA1DA,2014.12,15830
BDCQ.SEA1DA,2015.03,16017
BDCQ.SEA1DA,2015.06,15972
BDCQ.SEA1DA,2015.09,15962
BDCQ.SEA1DA,2015.12,16143
BDCQ.SEA1DA,2016.03,16372
BDCQ.SEA1DA,2016.06,16416
BDCQ.SEA1DA,2016.09,16533
BDCQ.SEA1DA,2016.12,16245
BDCQ.SEA1DA,2017.03,17207
BDCQ.SEA1DA,2017.06,17243
BDCQ.SEA1DA,2017.09,17678
BDCQ.SEA1DA,2017.12,18145
BDCQ.SEA1DA,2018.03,18505
BDCQ.SEA1DA,2018.06,18511
BDCQ.SEA1DA,2018.09,18512
BDCQ.SEA1DA,2018.12,18812
BDCQ.SEA1DA,2019.03,18937
BDCQ.SEA1DA,2019.06,19046
BDCQ.SEA1DA,2019.09,19316
BDCQ.SEA1DA,2019.12,19634
BDCQ.SEA1DA,2020.03,19770
BDCQ.SEA1DA,2020.06,19791
BDCQ.SEA1DA,2020.09,19903
BDCQ.SEA1DA,2020.12,20224
BDCQ.SEA1DA,2021.03,20286
BDCQ.SEA1DA,2021.06,20113
BDCQ.SEA1DS,2011.06,14486
BDCQ.SEA1DS,2011.09,14796
BDCQ.SEA1DS,2011.12,15026
BDCQ.SEA1DS,2012.03,15065
BDCQ.SEA1DS,2012.06,15046
BDCQ.SEA1DS,2012.09,15188
BDCQ.SEA1DS,2012.12,15269
BDCQ.SEA1DS,2013.03,15844
BDCQ.SEA1DS,2013.06,15895
BDCQ.SEA1DS,2013.09,15773
BDCQ.SEA1DS,2013.12,16010
BDCQ.SEA1DS,2014.03,15570
BDCQ.SEA1DS,2014.06,15347
BDCQ.SEA1DS,2014.09,15515
BDCQ.SEA1DS,2014.12,15830
BDCQ.SEA1DS,2015.03,16017
BDCQ.SEA1DS,2015.06,15972
BDCQ.SEA1DS,2015.09,15962
BDCQ.SEA1DS,2015.12,16143
BDCQ.SEA1DS,2016.03,16372
BDCQ.SEA1DS,2016.06,16416
BDCQ.SEA1DS,2016.09,16533
BDCQ.SEA1DS,2016.12,16245
BDCQ.SEA1DS,2017.03,17207
BDCQ.SEA1DS,2017.06,17243
BDCQ.SEA1DS,2017.09,17678
BDCQ.SEA1DS,2017.12,18145
BDCQ.SEA1DS,2018.03,18505
BDCQ.SEA1DS,2018.06,18511
BDCQ.SEA1DS,2018.09,18512
BDCQ.SEA1DS,2018.12,18812
BDCQ.SEA1DS,2019.03,18937
BDCQ.SEA1DS,2019.06,19046
BDCQ.SEA1DS,2019.09,19316
BDCQ.SEA1DS,2019.12,19634
BDCQ.SEA1DS,2020.03,19770
BDCQ.SEA1DS,2020.06,19791
BDCQ.SEA1DS,2020.09,19903
BDCQ.SEA1DS,2020.12,20224
BDCQ.SEA1DS,2021.03,20286
BDCQ.SEA1DS,2021.06,20113
BDCQ.SEA1DT,2011.06,
BDCQ.SEA1DT,2011.09,
BDCQ.SEA1DT,2011.12,
BDCQ.SEA1DT,2012.03,
BDCQ.SEA1DT,2012.06,
BDCQ.SEA1DT,2012.09,
BDCQ.SEA1DT,2012.12,
BDCQ.SEA1DT,2013.03,
BDCQ.SEA1DT,2013.06,
BDCQ.SEA1DT,2013.09,
BDCQ.SEA1DT,2013.12,
BDCQ.SEA1DT,2014.03,
BDCQ.SEA1DT,2014.06,
BDCQ.SEA1DT,2014.09,
BDCQ.SEA1DT,2014.12,
BDCQ.SEA1DT,2015.03,
BDCQ.SEA1DT,2015.06,
BDCQ.SEA1DT,2015.09,
BDCQ.SEA1DT,2015.12,
BDCQ.SEA1DT,2016.03,
BDCQ.SEA1DT,2016.06,
BDCQ.SEA1DT,2016.09,
BDCQ.SEA1DT,2016.12,
BDCQ.SEA1DT,2017.03,
BDCQ.SEA1DT,2017.06,
BDCQ.SEA1DT,2017.09,
BDCQ.SEA1DT,2017.12,
BDCQ.SEA1DT,2018.03,
BDCQ.SEA1DT,2018.06,
BDCQ.SEA1DT,2018.09,
BDCQ.SEA1DT,2018.12,
BDCQ.SEA1DT,2019.03,
BDCQ.SEA1DT,2019.06,
BDCQ.SEA1DT,2019.09,
BDCQ.SEA1DT,2019.12,
BDCQ.SEA1DT,2020.03,
BDCQ.SEA1DT,2020.06,
BDCQ.SEA1DT,2020.09,
BDCQ.SEA1DT,2020.12,
BDCQ.SEA1DT,2021.03,
BDCQ.SEA1DT,2021.06,
BDCQ.SEA1EA,2011.06,100016
BDCQ.SEA1EA,2011.09,100783
BDCQ.SEA1EA,2011.12,102394
BDCQ.SEA1EA,2012.03,103061
BDCQ.SEA1EA,2012.06,104955
BDCQ.SEA1EA,2012.09,105360
BDCQ.SEA1EA,2012.12,108315
BDCQ.SEA1EA,2013.03,108983
BDCQ.SEA1EA,2013.06,112850
BDCQ.SEA1EA,2013.09,111615
BDCQ.SEA1EA,2013.12,115478
BDCQ.SEA1EA,2014.03,117532
BDCQ.SEA1EA,2014.06,119951
BDCQ.SEA1EA,2014.09,120120
BDCQ.SEA1EA,2014.12,123363
BDCQ.SEA1EA,2015.03,125058
BDCQ.SEA1EA,2015.06,125669
BDCQ.SEA1EA,2015.09,125497
BDCQ.SEA1EA,2015.12,128006
BDCQ.SEA1EA,2016.03,129884
BDCQ.SEA1EA,2016.06,132499
BDCQ.SEA1EA,2016.09,133534
BDCQ.SEA1EA,2016.12,137679
BDCQ.SEA1EA,2017.03,140434
BDCQ.SEA1EA,2017.06,143677
BDCQ.SEA1EA,2017.09,144629
BDCQ.SEA1EA,2017.12,148802
BDCQ.SEA1EA,2018.03,150345
BDCQ.SEA1EA,2018.06,151978
BDCQ.SEA1EA,2018.09,150157
BDCQ.SEA1EA,2018.12,155400
BDCQ.SEA1EA,2019.03,157823
BDCQ.SEA1EA,2019.06,159688
BDCQ.SEA1EA,2019.09,159037
BDCQ.SEA1EA,2019.12,162608
BDCQ.SEA1EA,2020.03,163166
BDCQ.SEA1EA,2020.06,166358
BDCQ.SEA1EA,2020.09,166301
BDCQ.SEA1EA,2020.12,167946
BDCQ.SEA1EA,2021.03,170867
BDCQ.SEA1EA,2021.06,175353
BDCQ.SEA1ES,2011.06,99681
BDCQ.SEA1ES,2011.09,101630
BDCQ.SEA1ES,2011.12,102108
BDCQ.SEA1ES,2012.03,102837
BDCQ.SEA1ES,2012.06,104603
BDCQ.SEA1ES,2012.09,106249
BDCQ.SEA1ES,2012.12,108016
BDCQ.SEA1ES,2013.03,108740
BDCQ.SEA1ES,2013.06,112459
BDCQ.SEA1ES,2013.09,112581
BDCQ.SEA1ES,2013.12,115156
BDCQ.SEA1ES,2014.03,117261
BDCQ.SEA1ES,2014.06,119519
BDCQ.SEA1ES,2014.09,121191
BDCQ.SEA1ES,2014.12,123009
BDCQ.SEA1ES,2015.03,124772
BDCQ.SEA1ES,2015.06,125180
BDCQ.SEA1ES,2015.09,126662
BDCQ.SEA1ES,2015.12,127625
BDCQ.SEA1ES,2016.03,129602
BDCQ.SEA1ES,2016.06,131936
BDCQ.SEA1ES,2016.09,134812
BDCQ.SEA1ES,2016.12,137260
BDCQ.SEA1ES,2017.03,140155
BDCQ.SEA1ES,2017.06,143018
BDCQ.SEA1ES,2017.09,146036
BDCQ.SEA1ES,2017.12,148353
BDCQ.SEA1ES,2018.03,150064
BDCQ.SEA1ES,2018.06,151253
BDCQ.SEA1ES,2018.09,151618
BDCQ.SEA1ES,2018.12,154936
BDCQ.SEA1ES,2019.03,157556
BDCQ.SEA1ES,2019.06,158893
BDCQ.SEA1ES,2019.09,160591
BDCQ.SEA1ES,2019.12,162111
BDCQ.SEA1ES,2020.03,162938
BDCQ.SEA1ES,2020.06,165473
BDCQ.SEA1ES,2020.09,167954
BDCQ.SEA1ES,2020.12,167415
BDCQ.SEA1ES,2021.03,170670
BDCQ.SEA1ES,2021.06,174363
BDCQ.SEA1ET,2011.06,
BDCQ.SEA1ET,2011.09,
BDCQ.SEA1ET,2011.12,
BDCQ.SEA1ET,2012.03,
BDCQ.SEA1ET,2012.06,
BDCQ.SEA1ET,2012.09,
BDCQ.SEA1ET,2012.12,
BDCQ.SEA1ET,2013.03,
BDCQ.SEA1ET,2013.06,
BDCQ.SEA1ET,2013.09,
BDCQ.SEA1ET,2013.12,
BDCQ.SEA1ET,2014.03,
BDCQ.SEA1ET,2014.06,
BDCQ.SEA1ET,2014.09,
BDCQ.SEA1ET,2014.12,
BDCQ.SEA1ET,2015.03,
BDCQ.SEA1ET,2015.06,
BDCQ.SEA1ET,2015.09,
BDCQ.SEA1ET,2015.12,
BDCQ.SEA1ET,2016.03,
BDCQ.SEA1ET,2016.06,
BDCQ.SEA1ET,2016.09,
BDCQ.SEA1ET,2016.12,
BDCQ.SEA1ET,2017.03,
BDCQ.SEA1ET,2017.06,
BDCQ.SEA1ET,2017.09,
BDCQ.SEA1ET,2017.12,
BDCQ.SEA1ET,2018.03,
BDCQ.SEA1ET,2018.06,
BDCQ.SEA1ET,2018.09,
BDCQ.SEA1ET,2018.12,
BDCQ.SEA1ET,2019.03,
BDCQ.SEA1ET,2019.06,
BDCQ.SEA1ET,2019.09,
BDCQ.SEA1ET,2019.12,
BDCQ.SEA1ET,2020.03,
BDCQ.SEA1ET,2020.06,
BDCQ.SEA1ET,2020.09,
BDCQ.SEA1ET,2020.12,
BDCQ.SEA1ET,2021.03,
BDCQ.SEA1ET,2021.06,
BDCQ.SEA1FA,2011.06,90842
BDCQ.SEA1FA,2011.09,90656
BDCQ.SEA1FA,2011.12,91957
BDCQ.SEA1FA,2012.03,91173
BDCQ.SEA1FA,2012.06,91679
BDCQ.SEA1FA,2012.09,91486
BDCQ.SEA1FA,2012.12,93281
BDCQ.SEA1FA,2013.03,90916
BDCQ.SEA1FA,2013.06,92010
BDCQ.SEA1FA,2013.09,91371
BDCQ.SEA1FA,2013.12,92941
BDCQ.SEA1FA,2014.03,93004
BDCQ.SEA1FA,2014.06,93850
BDCQ.SEA1FA,2014.09,93789
BDCQ.SEA1FA,2014.12,98149
BDCQ.SEA1FA,2015.03,97793
BDCQ.SEA1FA,2015.06,98348
BDCQ.SEA1FA,2015.09,98026
BDCQ.SEA1FA,2015.12,99348
BDCQ.SEA1FA,2016.03,99941
BDCQ.SEA1FA,2016.06,101204
BDCQ.SEA1FA,2016.09,99631
BDCQ.SEA1FA,2016.12,101175
BDCQ.SEA1FA,2017.03,101660
BDCQ.SEA1FA,2017.06,102745
BDCQ.SEA1FA,2017.09,102918
BDCQ.SEA1FA,2017.12,104790
BDCQ.SEA1FA,2018.03,106407
BDCQ.SEA1FA,2018.06,105577
BDCQ.SEA1FA,2018.09,105618
BDCQ.SEA1FA,2018.12,107718
BDCQ.SEA1FA,2019.03,106746
BDCQ.SEA1FA,2019.06,107199
BDCQ.SEA1FA,2019.09,105826
BDCQ.SEA1FA,2019.12,108096
BDCQ.SEA1FA,2020.03,107888
BDCQ.SEA1FA,2020.06,106219
BDCQ.SEA1FA,2020.09,103881
BDCQ.SEA1FA,2020.12,104688
BDCQ.SEA1FA,2021.03,105317
BDCQ.SEA1FA,2021.06,105270
BDCQ.SEA1FS,2011.06,90803
BDCQ.SEA1FS,2011.09,91364
BDCQ.SEA1FS,2011.12,91143
BDCQ.SEA1FS,2012.03,91338
BDCQ.SEA1FS,2012.06,91602
BDCQ.SEA1FS,2012.09,92203
BDCQ.SEA1FS,2012.12,92519
BDCQ.SEA1FS,2013.03,91028
BDCQ.SEA1FS,2013.06,91916
BDCQ.SEA1FS,2013.09,92099
BDCQ.SEA1FS,2013.12,92235
BDCQ.SEA1FS,2014.03,93057
BDCQ.SEA1FS,2014.06,93756
BDCQ.SEA1FS,2014.09,94556
BDCQ.SEA1FS,2014.12,97438
BDCQ.SEA1FS,2015.03,97785
BDCQ.SEA1FS,2015.06,98257
BDCQ.SEA1FS,2015.09,98864
BDCQ.SEA1FS,2015.12,98638
BDCQ.SEA1FS,2016.03,99883
BDCQ.SEA1FS,2016.06,101105
BDCQ.SEA1FS,2016.09,100528
BDCQ.SEA1FS,2016.12,100478
BDCQ.SEA1FS,2017.03,101522
BDCQ.SEA1FS,2017.06,102657
BDCQ.SEA1FS,2017.09,103883
BDCQ.SEA1FS,2017.12,104091
